Alert ID,Ticker,Name,Description,Time
251466719,"BINANCE:BTCUSDTPERP, 4h",banktrader,"{
  ""tf"": ""4h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T12:00:00Z"",
  ""close"": ""46161.83"",
  ""open"": ""46349.99"",
  ""high"": ""46538.5"",
  ""low"": ""46161.83"",
  ""volume"": ""4127.557000000184""
}",2021-09-10T12:15:07.000Z
273881650,"BINANCE:ETHUSDTPERP, 5m",[test acc4] TFS Signal Strategy,"{
  ""v"": ""1"",
  ""auth"": ""ad616be0-0740-4b6a-8453-b948c2f95494"",
  ""msg"": ""test acc4: TFS Signal Strategy"",
  ""do"": [
    {
      ""action"": ""create_order"",
      ""data"": {
        ""side"": ""buy"",
        ""symbol"": ""ETHUSDT"",
        ""order_type"": ""Market"",
        ""qty"": 0.2773,
        ""reduce_only"": false
      }
    }
  ]
}",2021-09-10T10:40:52.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-10T09:00:01.000Z
251466719,"BINANCE:BTCUSDTPERP, 4h",banktrader,"{
  ""tf"": ""4h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T08:00:00Z"",
  ""close"": ""45850.94"",
  ""open"": ""46169.1"",
  ""high"": ""46379"",
  ""low"": ""45850.94"",
  ""volume"": ""10390.00100000212""
}",2021-09-10T08:33:11.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T06:00:00Z"",
  ""close"": ""46475.52"",
  ""open"": ""46703.42"",
  ""high"": ""46725"",
  ""low"": ""46475.52"",
  ""volume"": ""2907.4890000000646""
}",2021-09-10T06:35:29.000Z
251466798,"BINANCE:BTCUSDTPERP, 6h",banktrader,"{
  ""tf"": ""6h"",
  ""side"": ""Buy"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T06:00:00Z"",
  ""close"": ""46703.42"",
  ""open"": ""46703.42"",
  ""high"": ""46703.42"",
  ""low"": ""46703.42"",
  ""volume"": ""0.35""
}",2021-09-10T06:00:00.000Z
251465859,"BINANCE:BTCUSDTPERP, 1h",banktrader,"{
  ""tf"": ""1h"",
  ""side"": ""Sell"",
  ""ticker"": ""BTCUSDTPERP"",
  ""time"": ""2021-09-10T05:00:00Z"",
  ""close"": ""46456.54"",
  ""open"": ""46572.96"",
  ""high"": ""46572.97"",
  ""low"": ""46456.54"",
  ""volume"": ""418.03299999999837""
}",2021-09-10T05:00:33.000Z
273881650,"BINANCE:ETHUSDTPERP, 5m",[test acc4] TFS Signal Strategy,"{
  ""v"": ""1"",
  ""auth"": ""ad616be0-0740-4b6a-8453-b948c2f95494"",
  ""msg"": ""test acc4: TFS Signal Strategy"",
  ""do"": [
    {
      ""action"": ""create_order"",
      ""data"": {
        ""side"": ""sell"",
        ""symbol"": ""ETHUSDT"",
        ""order_type"": ""Market"",
        ""qty"": 0.2735,
        ""reduce_only"": true
      }
    }
  ]
}",2021-09-10T04:50:00.000Z
251334155,"BITSTAMP:BTCUSD, 15m",,[15m] WHALE LONG BUY!,2021-09-10T04:45:20.000Z
273881650,"BINANCE:ETHUSDTPERP, 5m",[test acc4] TFS Signal Strategy,"{
  ""v"": ""1"",
  ""auth"": ""ad616be0-0740-4b6a-8453-b948c2f95494"",
  ""msg"": ""test acc4: TFS Signal Strategy"",
  ""do"": [
    {
      ""action"": ""create_order"",
      ""data"": {
        ""side"": ""buy"",
        ""symbol"": ""ETHUSDT"",
        ""order_type"": ""Market"",
        ""qty"": 0.2735,
        ""reduce_only"": false
      }
    }
  ]
}",2021-09-10T04:30:00.000Z
